Created,Day,Tweet ID,Full Text,Quote Full Text,Hashtags,Not mask or face covering related,HBM Related,Perceived Benefits,Perceived Barriers,Perceived Severity,Perceived Susceptibility,HBM Related AutoFill
Tue Mar 03 20:22:02 +0000 2020,63,1234937098232303617,@svdate @Frizzer How many N95 masks would that buy?,,,0,0,0,0,0,0,0
Wed Mar 04 20:43:43 +0000 2020,64,1235304940492509185,@Gh72190914 @nparasram @jenniferatntd They’ve proven you can spread it before you show symptoms. Not sure why CDC is telling us not to wear masks.,,,0,1,1,1,0,1,1
Wed Mar 04 20:06:38 +0000 2020,64,1235295608082173953,"@notmool @RapindaP People wear masks around him, Not because of Corona Virus but because he fucking stinks 😂",,,0,0,0,0,0,0,0
Thu Mar 05 01:27:31 +0000 2020,65,1235376363047186433,"Public officials claiming that face masks do more harm than good in the public's hands this has reached an embarrassing fever pitch they think we are stupid.
 #COVID19seattle #CoronavirusOutbreak #WuhanCoronavius #COVIDー19",,,0,1,0,1,0,0,1
Mon Mar 23 16:39:38 +0000 2020,83,1242128885791068160,"@AJWVictoriaBC scary. Asking people to voluntarily keep their distance is just not working. I think we need to ramp up testing dramatically, increase the use ( and availability) of facial masks and hand sanitizer, and enforce quarantines. I think this is what China and Taiwan did.",,,0,1,1,0,0,0,1
Mon Mar 23 21:47:03 +0000 2020,83,1242206249137176577,"[REQUEST]: The #COVIDー19 epidemic is causing a critical shortage of protective equipment, especially N95 respirator masks in the US.
 

 Have a spare batch to donate? Please consider donating to:
 

 @BellevueHosp 
 Department of Medicine
 462 1st Ave - 16th Floor
 New York, NY 10016 https://t.co/UfPeRWkoCw",,,0,1,0,1,0,0,1
Mon Mar 23 05:43:45 +0000 2020,83,1241963827245113344,"Due to shortage of supplies, it is advised only those with breathing difficulties at this time should wear face masks. #MGCC #COVID19 #Stayhomestaysafe https://t.co/vW94vXeNJe",,,0,1,0,1,0,0,1
Thu Mar 05 01:38:22 +0000 2020,65,1235379090271551489,@stonecold2050 Did anyone tell him that the mask was made in central China?,,,0,0,0,0,0,0,0
Mon Mar 23 14:47:38 +0000 2020,83,1242100700256956416,"@barnski_pl @balajis That moron from my country was saying that because we don’t make masks and the morons in charge didn’t bother to import any masks nor mask machines. Hong Kong imported 10 machines. They gambled with no masks and didn’t lock down, now we’re paying the price. Yes misinformation.",,,0,1,0,1,0,0,1
Tue Mar 03 20:57:35 +0000 2020,63,1234946043650936832,"@LiamHorkan @CPSN_NHS @HCSAprocurement @michellebiggo76 FFP3 masks available for a reasonable price not over inflated here
 https://t.co/aURjim4nJc
 

 Box of 5 for £24.99
 #Ffp3 #Mask #coronavirus",,,0,0,0,0,0,0,0
Wed Mar 04 22:35:39 +0000 2020,64,1235333108775481346,Human petri dishes': Matt Gaetz wears gas mask on House floor for coronavirus vote https://t.co/bPPopDMuBD,,,0,0,0,0,0,0,0
Mon Mar 23 14:45:00 +0000 2020,83,1242100037167038464,"So why aren't we getting the masks in all departments that are still dealing with the public? We've been told that we can have a mask of suspected or known!! To late!! Your saying look after the front line staff and we haven't even got one mask!!
 https://t.co/eoXCptUVdI",,,0,1,0,1,0,0,1
Tue Mar 03 21:27:23 +0000 2020,63,1234953540445048833,"The #public will tend to fidget with a #mask, more excessively touch their face or use an #N95 improperly. @Surgeon_General stated, this “actually can increase the spread of #coronavirus”. Consult the professionals &amp; heed their advice! https://t.co/DT1p2Bum4o",,,0,1,0,1,0,0,1
Mon Mar 23 18:28:00 +0000 2020,83,1242156157172670472,"President #Trump has suggested health care workers sanitize and reuse masks when treating #coronavirus patients.
 However, neither the FDA nor Centers for Disease Control and Prevention guidelines suggest the possibility of sanitizing masks for safe reuse.#montysaiyed",,,0,1,0,1,0,0,1
Wed Mar 04 20:19:47 +0000 2020,64,1235298916167495682,"@passthebeano @markbspiegel The #coronavirus face masks the government is buying are $400 each, but note they do come with a free hammer.",,,0,1,0,1,0,0,1
Mon Mar 23 20:44:40 +0000 2020,83,1242190550150688768,@NewsHour The national shortage of N95 respirator masks can be traced to 2009 after the H1N1 swine flu pandemic when the Obama administration was advised to replenish a national stockpile but DID NOT! According to reports from Bloomberg News &amp; LA Times https://t.co/0piqxVjs69,,,0,1,0,1,0,0,1
Tue Mar 03 21:31:04 +0000 2020,63,1234954467851694080,"Much better message than telling the public that n95 masks don’t work for them but do for healthcare workers. The obvious contradiction was instilling more fear/panic, thus hoarding. https://t.co/XVF9ODBEwT",,,0,1,0,1,0,0,1
